[WESI][6][16-07-2023 3.57.43 PM][57463612.6899][SMDT]Task.Delay(173).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][9][16-07-2023 3.57.44 PM][57464105.3725][SMDT]Task.Delay(494).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][6][16-07-2023 3.57.44 PM][57464160.2512][SMDT]Task.Delay(44).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][6][16-07-2023 3.57.45 PM][57465065.806][SMDT]Task.Delay(914).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][6][16-07-2023 3.57.46 PM][57466424.1771][SMDT]Task.Delay(1356).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][10][16-07-2023 3.57.46 PM][57466704.4277][SMDT]Task.Delay(281).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.47 PM][57467103.3632][SMDT]Task.Delay(392).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][10][16-07-2023 3.57.47 PM][57467504.2963][SMDT]Task.Delay(404).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][8][16-07-2023 3.57.47 PM][57467557.148][SMDT]Task.Delay(43).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][9][16-07-2023 3.57.47 PM][57467750.6314][SMDT]Task.Delay(203).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][9][16-07-2023 3.57.47 PM][57467757.6126][SMDT]Task.Delay(9).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][6][16-07-2023 3.57.47 PM][57467962.0661][SMDT]Task.Delay(201).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][9][16-07-2023 3.57.48 PM][57468446.7698][SMDT]Task.Delay(484).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][6][16-07-2023 3.57.48 PM][57468712.0632][SMDT]Task.Delay(266).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][6][16-07-2023 3.57.48 PM][57468721.0373][SMDT]Task.Delay(11).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.57.48 PM][57468919.508][SMDT]Task.Delay(194).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][8][16-07-2023 3.57.48 PM][57468943.4429][SMDT]Task.Delay(26).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][9][16-07-2023 3.57.49 PM][57469323.4271][SMDT]Task.Delay(377).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][6][16-07-2023 3.57.49 PM][57469877.945][SMDT]Task.Delay(554).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][9][16-07-2023 3.57.49 PM][57469908.8626][SMDT]Task.Delay(26).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][10][16-07-2023 3.57.50 PM][57470042.5051][SMDT]Task.Delay(137).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][9][16-07-2023 3.57.50 PM][57470492.3038][SMDT]Task.Delay(449).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][10][16-07-2023 3.57.50 PM][57470843.3649][SMDT]Task.Delay(349).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][8][16-07-2023 3.57.51 PM][57471099.6802][SMDT]Task.Delay(257).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][10][16-07-2023 3.57.51 PM][57471445.7563][SMDT]Task.Delay(346).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.51 PM][57471809.782][SMDT]Task.Delay(365).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][6][16-07-2023 3.57.52 PM][57472704.392][SMDT]Task.Delay(893).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][10][16-07-2023 3.57.52 PM][57472728.3275][SMDT]Task.Delay(26).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.57.53 PM][57473145.2129][SMDT]Task.Delay(413).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][9][16-07-2023 3.57.53 PM][57473672.8029][SMDT]Task.Delay(528).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][9][16-07-2023 3.57.53 PM][57473680.7838][SMDT]Task.Delay(10).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][8][16-07-2023 3.57.54 PM][57474619.2828][SMDT]Task.Delay(930).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][9][16-07-2023 3.57.54 PM][57474638.223][SMDT]Task.Delay(25).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][6][16-07-2023 3.57.55 PM][57475579.7063][SMDT]Task.Delay(938).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][10][16-07-2023 3.57.55 PM][57475740.278][SMDT]Task.Delay(133).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.57.55 PM][57475757.2336][SMDT]Task.Delay(43).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.55 PM][57475764.2144][SMDT]Task.Delay(7).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
